台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
1501,0,0,0,0,0,0,0,0,0,2,20230206
1502,0,0,0,0,0,0,0,0,0,0,20230206
1503,0,0,0,0,0,0,0,0,0,0,20230206
1505,1291,24,6,0,489,53.8,215.2,0,43,163,20230206
1506,1643,13,6,0,0,126.4,273.8,0,86.5,117,20230206
1507,0,0,0,0,0,0,0,0,0,0,20230206
1501,0,0,0,0,0,0,0,0,0,0,20230207
1502,0,0,0,0,0,0,0,0,0,0,20230207
1503,0,0,0,0,0,0,0,0,0,0,20230207
1505,0,0,0,0,0,0,0,0,0,299,20230207
1506,0,0,0,0,0,0,0,0,0,312,20230207
1507,0,0,0,0,0,0,0,0,0,0,20230207
1501,0,0,0,0,0,0,0,0,0,0,20230208
1502,0,0,0,0,0,0,0,0,0,0,20230208
1503,0,0,0,0,0,0,0,0,0,0,20230208
1505,0,0,0,0,0,0,0,0,0,0,20230208
1506,1025,29,3,0,865,35.3,341.7,0,32,0,20230208
1507,1601,20,7,0,0,80.1,228.7,0,59.3,0,20230208
1501,0,0,0,0,0,0,0,0,0,0,20230209
1502,2153,43,11,0,207,50.1,195.7,0,39.9,0,20230209
1503,0,0,0,0,0,0,0,0,0,0,20230209
1505,913,16,3,0,425,57.1,304.3,0,48.1,0,20230209
1506,0,0,0,0,0,0,0,0,0,20,20230209
1507,1698,15,5,0,0,113.2,339.6,0,84.9,37,20230209
1501,908,19,2,0,683,47.8,454,0,43.2,0,20230210
1502,0,0,0,0,0,0,0,0,0,0,20230210
1503,0,0,0,0,0,0,0,0,0,0,20230210
1505,0,0,0,0,0,0,0,0,0,0,20230210
1506,0,0,0,0,0,0,0,0,0,68,20230210
1507,216,5,2,0,39,43.2,108,0,30.9,23,20230210
1501,1126,11,4,0,0,102.4,281.5,0,75.1,18,20230211
1502,827,10,3,0,0,82.7,275.7,0,63.6,0,20230211
1503,448,3,1,0,0,149.3,448,0,112,0,20230211
1505,3392,118,14,0,5723,28.7,242.3,0,25.7,0,20230211
1506,743,7,2,0,241,106.1,371.5,0,82.6,0,20230211
1507,1976,22,5,0,0,89.8,395.2,0,73.2,12,20230211
1501,0,0,0,0,0,0,0,0,0,134,20230212
1502,1452,19,5,0,0,76.4,290.4,0,60.5,0,20230212
1503,0,0,0,0,0,0,0,0,0,4,20230212
1505,0,0,0,0,0,0,0,0,0,2,20230212
1506,0,0,0,0,0,0,0,0,0,22,20230212
1507,0,0,0,0,0,0,0,0,0,6,20230212
