台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
3388,749,1,3,0,0,749,249.7,0,187.3,53,20230206
3533,1950,20,9,0,2174,97.5,216.7,0,67.2,32,20230206
3615,251,5,3,0,668,50.2,83.7,0,31.4,83,20230206
3388,1415,2,7,0,0,707.5,202.1,0,157.2,283,20230207
3533,307,0,2,0,0,0,153.5,0,153.5,671,20230207
3615,139,0,0,0,0,0,0,0,0,200,20230207
3388,519,13,3,0,1510,39.9,173,0,32.4,91,20230208
3533,938,10,2,0,735,93.8,469,0,78.2,307,20230208
3615,139,10,0,0,1423,13.9,0,0,13.9,139,20230208
3388,0,0,0,0,0,0,0,0,0,181,20230209
3533,510,3,2,0,0,170,255,0,102,86,20230209
3615,389,1,2,0,159,389,194.5,0,129.7,100,20230209
3388,0,0,0,0,0,0,0,0,0,0,20230210
3533,1325,2,5,0,0,662.5,265,0,189.3,266,20230210
3615,53,0,0,0,0,0,0,0,0,296,20230210
3388,3617,32,17,0,2540,113,212.8,0,73.8,0,20230211
3533,2352,15,8,0,1205,156.8,294,0,102.3,757,20230211
3615,1520,12,8,0,561,126.7,190,0,76,53,20230211
3388,2466,33,7,0,1463,74.7,352.3,0,61.7,34,20230212
3533,2485,9,14,0,119,276.1,177.5,0,108,642,20230212
3615,1943,7,5,0,209,277.6,388.6,0,161.9,184,20230212
