台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
3631,6152,18,9,0,0,341.8,683.6,0,227.9,230,20230206
3632,4145,15,9,0,466,276.3,460.6,0,172.7,129,20230206
3633,4896,13,10,0,0,376.6,489.6,0,212.9,446,20230206
3635,4647,23,16,0,1886,202,290.4,0,119.2,249,20230206
3636,5326,21,18,0,836,253.6,295.9,0,136.6,130,20230206
3637,5441,15,12,0,34,362.7,453.4,0,201.5,203,20230206
3638,5871,20,11,0,270,293.6,533.7,0,189.4,508,20230206
3631,7427,28,22,0,522,265.3,337.6,0,148.5,207,20230207
3632,3871,13,7,0,28,297.8,553,0,193.6,455,20230207
3633,6112,23,9,0,838,265.7,679.1,0,191,428,20230207
3635,4882,20,12,0,658,244.1,406.8,0,152.6,203,20230207
3636,4229,11,10,0,352,384.5,422.9,0,201.4,199,20230207
3637,3518,7,4,0,0,502.6,879.5,0,319.8,558,20230207
3638,7791,29,17,0,1153,268.7,458.3,0,169.4,0,20230207
3631,6412,26,12,0,860,246.6,534.3,0,168.7,104,20230208
3632,5953,18,11,0,0,330.7,541.2,0,205.3,595,20230208
3633,4889,22,11,0,854,222.2,444.5,0,148.2,959,20230208
3635,6170,25,9,0,70,246.8,685.6,0,181.5,253,20230208
3636,5987,18,17,0,492,332.6,352.2,0,171.1,439,20230208
3637,6683,23,15,0,0,209.6,445.5,0,175.9,221,20230208
3638,5983,22,14,0,798,272,427.4,0,166.2,128,20230208
3631,2468,9,5,0,35,274.2,493.6,0,176.3,270,20230209
3632,5427,17,9,0,693,319.2,603,0,208.7,439,20230209
3633,1709,6,5,0,714,284.8,341.8,0,155.4,243,20230209
3635,2667,15,5,0,2133,177.8,533.4,0,133.4,197,20230209
3636,3322,7,8,0,0,474.6,415.3,0,221.5,16,20230209
3637,5632,25,19,0,1244,225.3,296.4,0,128,228,20230209
3638,4875,13,11,0,0,375,443.2,0,203.1,955,20230209
3631,2532,9,2,0,56,281.3,1266,0,230.2,169,20230210
3632,3624,16,5,0,1047,226.5,724.8,0,172.6,508,20230210
3633,1391,4,3,0,12,347.8,463.7,0,198.6,934,20230210
3635,3453,18,10,0,1239,191.8,345.3,0,123.3,299,20230210
3636,2918,16,8,0,1626,182.4,364.8,0,121.5,232,20230210
3637,1928,7,3,0,152,275.4,642.7,0,192.8,132,20230210
3638,4937,17,16,0,909,290.4,308.6,0,149.6,894,20230210
3631,5817,25,11,0,433,232.7,528.8,0,161.6,245,20230211
3632,6030,27,8,0,1260,223.3,753.8,0,172.3,682,20230211
3633,7256,22,18,0,0,329.8,403.1,0,181.4,208,20230211
3635,5692,11,14,0,0,517.5,406.6,0,227.7,236,20230211
3636,6124,28,14,0,917,218.7,437.4,0,145.8,74,20230211
3637,4954,17,2,0,0,291.4,412.8,0,160.8,270,20230211
3638,6841,21,20,0,576,325.8,342.1,0,166.9,189,20230211
3631,5528,22,9,0,0,251.3,614.2,0,178.3,14,20230212
3632,3668,11,9,0,464,333.5,407.6,0,183.4,121,20230212
3633,3617,9,8,0,0,401.9,452.1,0,212.8,21,20230212
3635,4659,13,10,0,0,358.4,465.9,0,202.6,326,20230212
3636,5948,19,11,0,196,313.1,540.7,0,198.3,65,20230212
3637,3436,11,8,0,252,312.4,429.5,0,180.8,198,20230212
3638,4574,18,10,0,660,254.1,457.4,0,163.4,552,20230212
3631,5113,18,10,0,10,284.1,511.3,0,182.6,117,20230213
3632,6634,29,12,0,80,228.8,552.8,0,161.8,1146,20230213
3633,2262,6,2,0,59,377,1131,0,282.8,440,20230213
3635,4601,11,5,0,0,418.3,920.2,0,287.6,411,20230213
3636,5372,26,11,0,1332,206.6,488.4,0,145.2,138,20230213
3637,3482,7,7,0,0,497.4,497.4,0,248.7,391,20230213
3638,5700,29,13,0,1710,196.6,438.5,0,135.7,123,20230213
3631,4937,18,17,0,369,274.3,290.3,0,141.1,226,20230214
3632,3712,13,6,0,497,285.5,618.7,0,195.4,111,20230214
3633,4756,14,5,0,107,339.7,951.2,0,250.3,314,20230214
3635,4753,21,13,0,2244,226.3,365.6,0,139.8,273,20230214
3636,4183,21,5,0,1151,199.2,836.6,0,160.9,158,20230214
3637,6076,27,13,0,968,225,467.4,0,151.9,205,20230214
3638,5468,17,13,0,0,321.6,420.6,0,182.3,186,20230214
