台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
1275,74,0,0,0,0,0,0,0,0,84,20230207
1276,0,0,0,0,0,0,0,0,0,152,20230207
1277,518,7,1,0,0,74,518,0,64.8,328,20230207
1278,334,2,1,0,0,167,334,0,111.3,167,20230207
1280,0,0,0,0,0,0,0,0,0,175,20230207
1281,2419,64,10,0,1108,37.8,241.9,0,32.7,54,20230207
1275,0,0,0,0,0,0,0,0,0,74,20230208
1276,0,0,0,0,0,0,0,0,0,0,20230208
1277,352,9,0,0,368,39.1,0,0,39.1,1,20230208
1278,606,7,1,0,0,86.6,606,0,75.8,147,20230208
1280,0,0,0,0,0,0,0,0,0,0,20230208
1281,1832,34,5,0,683,53.9,366.4,0,47,184,20230208
1275,2280,47,7,0,395,48.5,325.7,0,42.2,0,20230209
1276,152,0,0,0,0,0,0,0,0,0,20230209
1277,1377,36,6,0,811,38.3,229.5,0,32.8,278,20230209
1278,1498,25,7,0,0,59.9,214,0,46.8,216,20230209
1280,953,10,1,0,0,95.3,953,0,86.6,0,20230209
1281,812,11,1,0,0,73.8,812,0,67.7,164,20230209
1275,1030,21,0,0,60,49,0,0,49,149,20230210
1276,274,1,1,0,0,274,274,0,137,152,20230210
1277,0,0,0,0,0,0,0,0,0,200,20230210
1278,1171,8,2,0,0,147.4,585.5,0,117.1,86,20230210
1280,0,0,0,0,0,0,0,0,0,144,20230210
1281,1198,24,2,0,516,49.9,599,0,46.1,188,20230210
1275,1775,45,2,0,360,39.4,887.5,0,37.8,9,20230211
1276,1938,29,3,0,171,66.8,646,0,60.6,146,20230211
1277,2131,66,8,0,1072,32.3,266.4,0,28.8,0,20230211
1278,1034,10,3,0,0,103.4,344.7,0,79.5,78,20230211
1280,0,0,0,0,0,0,0,0,0,0,20230211
1281,1346,39,4,0,1373,34.5,336.5,0,31.3,152,20230211
1275,762,7,0,0,0,108.9,0,0,108.9,16,20230212
1276,82,0,0,0,0,0,0,0,0,63,20230212
1277,169,17,1,0,832,9.9,169,0,9.4,13,20230212
1278,2712,82,9,0,1904,33.1,301.3,0,29.8,171,20230212
1280,1056,18,2,0,517,58.7,528,0,52.8,167,20230212
1281,271,12,1,0,219,22.6,271,0,20.8,167,20230212
1275,404,6,1,0,45,67.3,404,0,57.7,156,20230213
1276,242,0,0,0,0,0,0,0,0,82,20230213
1277,523,15,2,0,447,34.9,261.5,0,30.8,0,20230213
1278,577,7,2,0,0,34.9,288.5,0,64.1,190,20230213
1280,695,16,2,0,269,43.4,347.5,0,38.6,33,20230213
1281,196,0,0,0,0,0,0,0,0,32,20230213
1275,0,0,0,0,0,0,0,0,0,218,20230214
1276,0,0,0,0,0,0,0,0,0,242,20230214
1277,0,0,0,0,0,0,0,0,0,187,20230214
1278,801,6,0,0,0,133.5,0,0,133.5,216,20230214
1280,2791,43,11,0,65,64.9,253.7,0,51.7,200,20230214
1281,0,0,0,0,0,0,0,0,0,196,20230214
