台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
3622,2208,40,3,0,2128,45.1,736,0,42.5,0,20230205
3622,2033,26,2,0,1336,78.2,1016.5,0,72.6,0,20230206
3622,0,0,0,0,0,0,0,0,0,4,20230207
3622,0,0,0,0,0,0,0,0,0,0,20230208
3622,1551,21,2,0,1155,73.9,775.5,0,67.4,0,20230209
3622,578,14,1,0,722,41.3,578,0,38.5,2,20230210
3622,3528,85,5,0,5164,45.5,705.6,0,39.2,33,20230211
3622,0,0,0,0,0,0,0,0,0,2,20230212
3622,2026,13,1,0,0,155.8,2026,0,144.7,0,20230213
3622,1535,24,1,0,1631,64,1535,0,61.4,32,20230214
