台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
3532,2422,19,4,0,0,127.5,605.5,0,105.3,169,20230206
3551,2400,17,2,0,0,141.2,1200,0,126.3,11,20230206
3532,2914,44,9,0,1398,64,312.7,0,53.1,0,20230207
3551,3844,31,6,0,0,124,640.7,0,103.9,95,20230207
3532,2121,16,4,0,458,132.6,530.3,0,106.1,149,20230208
3551,750,14,2,0,748,53.6,375,0,46.9,206,20230208
3532,1497,25,4,0,911,59.9,374.3,0,51.6,0,20230209
3551,3650,27,7,0,0,135.2,521.4,0,107.4,80,20230209
3532,1068,16,3,0,588,66.8,356,0,56.2,91,20230210
3551,3830,32,10,0,0,119.7,383,0,912,85,20230210
3532,4588,35,6,0,0,131.1,764.7,0,111.9,132,20230211
3551,4763,47,6,0,0,101.3,793.8,0,89.9,44,20230211
3532,3954,55,8,0,2805,71.9,494.3,0,62.8,1,20230212
3551,5000,68,14,0,1537,73.5,357.1,0,61,162,20230212
3532,2122,50,7,0,3063,42.4,303.1,0,37.2,150,20230213
3551,1612,33,5,0,1594,48.8,322.4,0,42.4,121,20230213
